opportunity_id,service_date,account_name,mapbox_username_c,reset_period,product_start_date,userhllmerge
0063600000Jf9VDAAZ,2018-11-01 00:00:00.000,Booking,mapbox-booking,8,2018-03-17 00:00:00,24451
0063600000Jf9VDAAZ,2018-11-02 00:00:00.000,Booking,mapbox-booking,8,2018-03-17 00:00:00,42932
0063600000Jf9VDAAZ,2018-11-03 00:00:00.000,Booking,mapbox-booking,8,2018-03-17 00:00:00,58084
0063600000Jf9VDAAZ,2018-11-04 00:00:00.000,Booking,mapbox-booking,8,2018-03-17 00:00:00,73934
0063600000Jf9VDAAZ,2018-11-05 00:00:00.000,Booking,mapbox-booking,8,2018-03-17 00:00:00,90530
0063600000Jf9VDAAZ,2018-11-06 00:00:00.000,Booking,mapbox-booking,8,2018-03-17 00:00:00,107821
0063600000Jf9VDAAZ,2018-11-07 00:00:00.000,Booking,mapbox-booking,8,2018-03-17 00:00:00,122370
0063600000Jf9VDAAZ,2018-11-08 00:00:00.000,Booking,mapbox-booking,8,2018-03-17 00:00:00,135048
0063600000Jf9VDAAZ,2018-11-09 00:00:00.000,Booking,mapbox-booking,8,2018-03-17 00:00:00,148030
0063600000Jf9VDAAZ,2018-11-10 00:00:00.000,Booking,mapbox-booking,8,2018-03-17 00:00:00,159220
0063600000Jf9VDAAZ,2018-11-11 00:00:00.000,Booking,mapbox-booking,8,2018-03-17 00:00:00,172706
0063600000Jf9VDAAZ,2018-11-12 00:00:00.000,Booking,mapbox-booking,8,2018-03-17 00:00:00,189300
0063600000Jf9VDAAZ,2018-11-13 00:00:00.000,Booking,mapbox-booking,8,2018-03-17 00:00:00,203779
0063600000Jf9VDAAZ,2018-11-14 00:00:00.000,Booking,mapbox-booking,8,2018-03-17 00:00:00,217190
0063600000Jf9VDAAZ,2018-11-15 00:00:00.000,Booking,mapbox-booking,8,2018-03-17 00:00:00,229301
0063600000Jf9VDAAZ,2018-11-16 00:00:00.000,Booking,mapbox-booking,8,2018-03-17 00:00:00,240878
0063600000Jf9VDAAZ,2018-11-17 00:00:00.000,Booking,mapbox-booking,8,2018-03-17 00:00:00,251567
0063600000Jf9VDAAZ,2018-11-18 00:00:00.000,Booking,mapbox-booking,8,2018-03-17 00:00:00,261534
0063600000Jf9VDAAZ,2018-11-19 00:00:00.000,Booking,mapbox-booking,8,2018-03-17 00:00:00,274394
0063600000Jf9VDAAZ,2018-11-20 00:00:00.000,Booking,mapbox-booking,8,2018-03-17 00:00:00,288115
0063600000Jf9VDAAZ,2018-11-21 00:00:00.000,Booking,mapbox-booking,8,2018-03-17 00:00:00,301951
0063600000Jf9VDAAZ,2018-11-22 00:00:00.000,Booking,mapbox-booking,8,2018-03-17 00:00:00,317328
0063600000Jf9VDAAZ,2018-11-23 00:00:00.000,Booking,mapbox-booking,8,2018-03-17 00:00:00,328457
0063600000Jf9VDAAZ,2018-11-24 00:00:00.000,Booking,mapbox-booking,8,2018-03-17 00:00:00,340482
0063600000Jf9VDAAZ,2018-11-25 00:00:00.000,Booking,mapbox-booking,8,2018-03-17 00:00:00,351182
0063600000Jf9VDAAZ,2018-11-26 00:00:00.000,Booking,mapbox-booking,8,2018-03-17 00:00:00,364706
0063600000Jf9VDAAZ,2018-11-27 00:00:00.000,Booking,mapbox-booking,8,2018-03-17 00:00:00,377843
0063600000Jf9VDAAZ,2018-11-28 00:00:00.000,Booking,mapbox-booking,8,2018-03-17 00:00:00,389935
0063600000Jf9VDAAZ,2018-11-29 00:00:00.000,Booking,mapbox-booking,8,2018-03-17 00:00:00,402028
0063600000Jf9VDAAZ,2018-11-30 00:00:00.000,Booking,mapbox-booking,8,2018-03-17 00:00:00,411955
0063600000Jf9VDAAZ,2018-12-01 00:00:00.000,Booking,mapbox-booking,9,2018-03-17 00:00:00,25579
0063600000Jf9VDAAZ,2018-12-02 00:00:00.000,Booking,mapbox-booking,9,2018-03-17 00:00:00,47964
